     0      0.00000000  -2.000000000000
     1      0.62500000  -2.000000000000
     2      1.25000000  -2.280898876404
     3      1.87500000  -2.548230367453
     4      2.50000000  -2.751913342312
     5      3.12500000  -2.908544176623
     6      3.75000000  -3.033295488769
     7      4.37500000  -3.135891269712
     8      5.00000000  -3.222478556442
     9      5.62500000  -3.297074744182
    10      6.25000000  -3.362409651770
    11      6.87500000  -3.420406094948
    12      7.50000000  -3.472461653352
    13      8.12500000  -3.519619973547
    14      8.75000000  -3.562678735319
    15      9.37500000  -3.602259994453
    16     10.00000000  -3.638857397981
